Ship,Length,Draft,ETA,Cargo Quantity,Crane Needs,RTD,Handling Time,Relative Importance,HT Cost,WT Cost,LD Cost
1,312,12,4,3342,7,150.0,140.0,26823.8,28.17,130.0,260.0
2,175,6,5,592,3,37.0,25.0,4718.44,7.9,72.92,145.83
3,178,9,8,509,3,32.0,22.0,4181.74,8.03,74.17,148.33
4,255,13,10,1932,3,98.0,81.0,13145.39,10.23,93.41,187.5
5,219,12,13,1816,3,98.0,76.0,11245.39,9.89,91.25,182.5
6,146,3,16,352,3,35.0,15.0,3079.62,6.59,60.83,121.67
7,97,2,24,50,2,29.0,3.0,1427.74,4.38,40.42,80.83
8,323,12,35,4583,6,234.0,191.0,36388.48,29.16,134.58,269.17
9,191,10,37,1139,4,92.0,48.0,7178.16,8.62,79.58,159.17
10,104,2,49,193,2,62.0,9.0,1905.5,4.69,43.33,86.67
11,197,7,51,911,3,94.0,38.0,6329.76,8.89,82.08,164.17
12,288,13,54,2943,5,181.0,123.0,22038.0,26.0,120.0,240.0
13,104,1,67,176,2,84.0,8.0,2074.13,4.69,43.33,86.67
14,258,11,73,3044,4,207.0,127.0,20587.83,23.29,107.5,215.0
15,140,4,76,268,3,96.0,12.0,2992.44,6.32,58.33,116.67
16,126,2,85,258,1,109.0,22.0,2960.18,5.69,52.5,105.0
17,97,3,88,77,1,99.0,7.0,1687.78,4.38,40.42,80.83
18,60,2,91,86,1,106.0,8.0,1146.68,2.71,25.0,50.0
19,125,3,99,157,3,111.0,7.0,2226.94,5.64,52.08,104.17
20,143,7,107,440,3,132.0,19.0,3399.55,6.45,59.58,119.17
21,329,14,115,4366,5,300.0,182.0,34877.7,29.7,137.08,274.17
22,64,3,123,53,1,133.0,5.0,1081.15,2.89,26.67,53.33
23,138,4,123,226,2,141.0,10.0,2822.3,6.23,57.5,115.0
24,103,3,124,485,3,146.0,21.0,2329.39,4.65,42.92,85.83
25,85,4,126,93,2,131.0,4.0,1254.96,3.84,35.42,70.83
26,291,13,129,2115,5,223.0,89.0,16204.46,13.14,121.25,242.5
27,315,12,135,3602,5,290.0,151.0,28575.69,28.44,131.25,262.5
28,131,6,145,191,2,154.0,8.0,2176.0,5.91,54.58,109.17
29,256,13,147,2761,6,270.0,116.0,17661.37,11.56,106.67,213.33
30,93,4,163,97,2,173.0,5.0,1571.0,4.2,38.75,77.5
31,195,8,167,555,2,195.0,24.0,4923.7,8.8,81.25,162.5
