Ship,Length,Draft,ETA,Cargo Quantity,Crane Needs,RTD,Handling Time,Relative Importance,HT Cost,WT Cost,LD Cost
1,300,14,2,2404,6,106.0,101.0,18117.54,13.54,125.0,250.0
2,126,3,11,296,1,42.0,25.0,3344.75,5.69,52.5,105.0
3,235,11,51,1702,3,125.0,71.0,10936.89,10.61,97.92,195.83
4,234,11,60,1450,3,127.0,61.0,10101.66,10.56,97.5,195.0
5,292,12,62,2216,5,161.0,93.0,16921.07,13.18,121.67,243.33
6,325,12,69,4041,6,246.0,169.0,32990.3,29.34,135.42,270.83
7,141,2,80,163,1,97.0,14.0,2850.29,6.36,58.75,117.5
8,328,14,83,3130,6,221.0,131.0,26839.37,29.61,136.67,273.33
9,312,14,84,4449,5,276.0,186.0,34099.62,28.17,130.0,260.0
10,250,9,93,2043,6,188.0,86.0,13991.23,11.28,104.17,208.33
11,103,3,97,149,1,115.0,13.0,2120.51,4.65,42.92,85.83
12,186,3,98,149,1,115.0,13.0,2320.51,5.65,43.92,86.83
13,94,2,109,81,1,123.0,7.0,1753.06,4.24,39.17,78.33
14,152,7,109,651,3,145.0,28.0,4371.96,6.86,63.33,126.67
15,124,5,120,253,2,136.0,11.0,2438.32,5.6,51.67,103.33
16,100,3,127,58,1,141.0,5.0,1855.93,4.51,41.67,83.33
17,130,2,132,435,2,159.0,19.0,3199.12,5.87,54.17,108.33
18,203,8,138,1449,5,201.0,61.0,8424.8,9.16,84.58,169.17
19,139,6,138,223,1,166.0,19.0,3478.39,6.27,57.92,115.83
20,104,1,140,182,2,150.0,8.0,1770.82,4.69,43.33,86.67
21,183,9,160,1070,2,214.0,45.0,6776.7,8.26,76.25,152.5
